Title,Abstract,StoreId,AccessionNumber,ArticleType,AuthorAffiliation,Authors,companies,copyright,documentType,entryDate,issn,issue,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,volume,DocumentURL,classification,classificationCodes,documentFeatures,identifierKeywords,majorClassificationCodes,notes,startPage,subjectClassifications,subjectTerms,subjects,FindACopy,Database
Singapore: Engineering Innovations for Tuas Port Phase 1 Reclamation Project Recognised with Triple Awards,,2774301089,,Newspapers,,, Association of Southeast Asian Nations--ASEAN," Copyright Thai News Service Group Feb 9, 2023", News," Feb 9, 2023",,, English, English,, Bangkok,"Feb 9, 2023",Asia News Monitor,2023,,https://www.proquest.com/newspapers/singapore-engineering-innovations-tuas-port-phase/docview/2774301089/se-2?accountid=27026,,,,,,,,," Innovations , Construction accidents & safety , Ports , Engineering , Automation , Sustainable development , Awards & honors , Singapore",,"http://sfx.tudelft.nl:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Apq1busgeneral&amp;atitle=Singapore%3A+Engineering+Innovations+for+Tuas+Port+Phase+1+Reclamation+Project+Recognised+with+Triple+Awards&amp;title=Asia+News+Monitor&amp;issn=&amp;date=2023-02-09&amp;volume=&amp;issue=&amp;spage=&amp;au=&amp;isbn=&amp;jtitle=Asia+News+Monitor&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/, http://tudelft.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=&amp;title=Asia+News+Monitor&amp;spage=&amp;date=2023-02-09&amp;atitle=Singapore%3A+Engineering+Innovations+for+Tuas+Port+Phase+1+Reclamation+Project+Recognised+with+Triple+Awards&amp;au=&amp;id=doi:",ProQuest One Business
Singapore : Singapore Maritime Institute partners stakeholders in R&amp;D collaborations to drive maritime digitalisation and artificial intelligence,,2724782619,,Wire Feeds,,, Maritime Energy, © 2022 Al Bawaba (Albawaba.com)  Provided by SyndiGate Media Inc. (Syndigate.info)., News," Oct 14, 2022",,, English, English,, London,"Oct 14, 2022",MENA Report,2022,,https://www.proquest.com/wire-feeds/singapore-maritime-institute-partners/docview/2724782619/se-2?accountid=27026," 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48831 Port and Harbor Operations"," 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48831 Port and Harbor Operations",,," 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48831 Port and Harbor Operations",,," 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48831 Port and Harbor Operations"," Ports , Collaboration , Artificial intelligence , Sustainable development , Maritime industry , Computer security , Digital twins , Funding , Automation , Research & development--R&D , Singapore",,"http://sfx.tudelft.nl:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Apq1busgeneral&amp;atitle=Singapore+%3A+Singapore+Maritime+Institute+partners+stakeholders+in+R%26amp%3BD+collaborations+to+drive+maritime+digitalisation+and+artificial+intelligence&amp;title=MENA+Report&amp;issn=&amp;date=2022-10-14&amp;volume=&amp;issue=&amp;spage=&amp;au=&amp;isbn=&amp;jtitle=MENA+Report&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/, http://tudelft.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=&amp;title=MENA+Report&amp;spage=&amp;date=2022-10-14&amp;atitle=Singapore+%3A+Singapore+Maritime+Institute+partners+stakeholders+in+R%26amp%3BD+collaborations+to+drive+maritime+digitalisation+and+artificial+intelligence&amp;au=&amp;id=doi:",ProQuest One Business
Singapore: Speech by MOS Low Yen Ling at Green Innovation in Marine Decarbonisation Seminar,,2680873663,,Newspapers,,,," Copyright Thai News Service Group Jun 27, 2022", News," Jun 27, 2022",,, English, English,, Bangkok,"Jun 27, 2022",Asia News Monitor,2022,,https://www.proquest.com/newspapers/singapore-speech-mos-low-yen-ling-at-green/docview/2680873663/se-2?accountid=27026," 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48831 Port and Harbor Operations"," 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48831 Port and Harbor Operations",,," 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48831 Port and Harbor Operations",,," 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48831 Port and Harbor Operations"," Energy research , Greenhouse gases , Alternative energy , Maritime industry , Sustainable development , Emissions , Carbon , Research funding , Hydrogen , Paris Agreement , Research & development--R&D , Ports , Renewable resources , Offshore , Jurong Island , Singapore",,"http://sfx.tudelft.nl:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Apq1busgeneral&amp;atitle=Singapore%3A+Speech+by+MOS+Low+Yen+Ling+at+Green+Innovation+in+Marine+Decarbonisation+Seminar&amp;title=Asia+News+Monitor&amp;issn=02666138&amp;date=2018-06-01&amp;volume=61&amp;issue=&amp;spage=8&amp;au=Cummins%2C+Allison+M%2C+RM%2C+MAEd%2C+PhD%3BWight%2C+Raechel%2C+BBus%3BWatts%2C+Nicole%2C+MMid%3BCatling%2C+Christine%2C+RN%2C+RM%2C+PhD&amp;isbn=&amp;jtitle=Midwifery&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/, http://tudelft.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=&amp;title=Asia+News+Monitor&amp;spage=&amp;date=2022-06-27&amp;atitle=Singapore%3A+Speech+by+MOS+Low+Yen+Ling+at+Green+Innovation+in+Marine+Decarbonisation+Seminar&amp;au=&amp;id=doi:",ProQuest One Business
Clipper Oil Co.: BOEM gives environmental green light to northern California offshore wind development,,2664038330,,Wire Feeds,,," Clipper Oil Co , Incat Crowther , Aker BP , Petroleos Brasileiro SA , Maritime Administration"," Copyright News Bites Pty Ltd May 14, 2022", News," May 14, 2022",,, English, English,, Melbourne,"May 14, 2022",News Bites - Private Companies,2022,,https://www.proquest.com/wire-feeds/clipper-oil-co-boem-gives-environmental-green/docview/2664038330/se-2?accountid=27026, 48831 Port and Harbor Operations, 48831 Port and Harbor Operations,," BUSINESS NEWS ROUND UP , PRESS RELEASES ESG , Company Activities , Company Summary , FINANCIALS , TOP MANAGEMENT", 48831 Port and Harbor Operations,,, 48831 Port and Harbor Operations," Software , Iron compounds , Wind farms , Energy , Chief executive officers , Offshore , Partnership agreements , Wind power , Breach of contract , Society , Federal court decisions , Drilling , Shipping industry , Equity stake , Websites , Ports , United States-US , Middle East , New Jersey , Malaysia , United States--US , Singapore , China , California , Japan"," BUSINESS NEWS ROUND UP , PRESS RELEASES ESG , Company Activities , Company Summary , FINANCIALS , TOP MANAGEMENT","http://sfx.tudelft.nl:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Apq1busgeneral&amp;atitle=Clipper+Oil+Co.%3A+BOEM+gives+environmental+green+light+to+northern+California+offshore+wind+development&amp;title=News+Bites+-+Private+Companies&amp;issn=&amp;date=2022-05-14&amp;volume=&amp;issue=&amp;spage=&amp;au=&amp;isbn=&amp;jtitle=News+Bites+-+Private+Companies&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/, http://tudelft.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=&amp;title=News+Bites+-+Private+Companies&amp;spage=&amp;date=2022-05-14&amp;atitle=Clipper+Oil+Co.%3A+BOEM+gives+environmental+green+light+to+northern+California+offshore+wind+development&amp;au=&amp;id=doi:",ProQuest One Business
"Singapore: Speech By Mr Chee Hong Tat, Senior Minister Of State, Ministry Of Transport, At International Seminar On United Nations Global Geospatial Information Management, At Singapore Marriott Tangs Hotel",,2662050887,,Newspapers,,, United Nations--UN," Copyright Thai News Service Group May 12, 2022", News," May 12, 2022",,, English, English,, Bangkok,"May 12, 2022",Asia News Monitor,2022,,https://www.proquest.com/newspapers/singapore-speech-mr-chee-hong-tat-senior-minister/docview/2662050887/se-2?accountid=27026,,,,,,,,," Government agencies , Oceans , Collaboration , Sustainable development , International , Floods , Planning , Meetings , Spatial data , Research & development--R&D , Seminars , Climate change , Information management , Ports , Singapore",,"http://sfx.tudelft.nl:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Apq1busgeneral&amp;atitle=Singapore%3A+Speech+By+Mr+Chee+Hong+Tat%2C+Senior+Minister+Of+State%2C+Ministry+Of+Transport%2C+At+International+Seminar+On+United+Nations+Global+Geospatial+Information+Management%2C+At+Singapore+Marriott+Tangs+Hotel&amp;title=Asia+News+Monitor&amp;issn=&amp;date=2022-05-12&amp;volume=&amp;issue=&amp;spage=&amp;au=&amp;isbn=&amp;jtitle=Asia+News+Monitor&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/, http://tudelft.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=&amp;title=Asia+News+Monitor&amp;spage=&amp;date=2022-05-12&amp;atitle=Singapore%3A+Speech+By+Mr+Chee+Hong+Tat%2C+Senior+Minister+Of+State%2C+Ministry+Of+Transport%2C+At+International+Seminar+On+United+Nations+Global+Geospatial+Information+Management%2C+At+Singapore+Marriott+Tangs+Hotel&amp;au=&amp;id=doi:",ProQuest One Business
Clipper Oil Co.: Maersk-Backed Partnership Seeks to Build Green Methanol Plant in Singapore,,2648356836,,Wire Feeds,,," Clipper Oil Co , CMA CGM , Electrolux AB"," Copyright News Bites Pty Ltd Apr 9, 2022", News," Apr 9, 2022",,, English, English,, Melbourne,"Apr 9, 2022",News Bites - Private Companies,2022,,https://www.proquest.com/wire-feeds/clipper-oil-co-maersk-backed-partnership-seeks/docview/2648356836/se-2?accountid=27026," 48831 Port and Harbor Operations , 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 32512 Industrial Gas Manufacturing"," 48831 Port and Harbor Operations , 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 32512 Industrial Gas Manufacturing",," BUSINESS NEWS ROUND UP , PRESS RELEASES ESG , Company Activities , Company Summary , FINANCIALS"," 48831 Port and Harbor Operations , 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 32512 Industrial Gas Manufacturing",,," 48831 Port and Harbor Operations , 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 32512 Industrial Gas Manufacturing"," Carbon sequestration , Satellite communications , Maritime industry , Energy , Spinoffs , Chief executive officers , Shipping industry , Websites , Liquefied natural gas , Ports , United States-US , Middle East , United States--US , United Kingdom--UK , Singapore"," BUSINESS NEWS ROUND UP , PRESS RELEASES ESG , Company Activities , Company Summary , FINANCIALS","http://sfx.tudelft.nl:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Apq1busgeneral&amp;atitle=Clipper+Oil+Co.%3A+Maersk-Backed+Partnership+Seeks+to+Build+Green+Methanol+Plant+in+Singapore&amp;title=News+Bites+-+Private+Companies&amp;issn=&amp;date=2022-04-09&amp;volume=&amp;issue=&amp;spage=&amp;au=&amp;isbn=&amp;jtitle=News+Bites+-+Private+Companies&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/, http://tudelft.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=&amp;title=News+Bites+-+Private+Companies&amp;spage=&amp;date=2022-04-09&amp;atitle=Clipper+Oil+Co.%3A+Maersk-Backed+Partnership+Seeks+to+Build+Green+Methanol+Plant+in+Singapore&amp;au=&amp;id=doi:",ProQuest One Business
"Singapore: Speech By Mr S Iswaran, Minister For Transport, At Imo-Singapore Future Of Shipping Conference 2022, At MBS Expo &amp; Convention CTR",,2647707334,,Newspapers,,, United Nations--UN," Copyright Thai News Service Group Apr 8, 2022", News," Apr 8, 2022",,, English, English,, Bangkok,"Apr 8, 2022",Asia News Monitor,2022,,https://www.proquest.com/newspapers/singapore-speech-mr-s-iswaran-minister-transport/docview/2647707334/se-2?accountid=27026," 32419 Other Petroleum and Coal Products Manufacturing , 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48831 Port and Harbor Operations , 32512 Industrial Gas Manufacturing"," 32419 Other Petroleum and Coal Products Manufacturing , 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48831 Port and Harbor Operations , 32512 Industrial Gas Manufacturing",,," 32419 Other Petroleum and Coal Products Manufacturing , 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48831 Port and Harbor Operations , 32512 Industrial Gas Manufacturing",,," 32419 Other Petroleum and Coal Products Manufacturing , 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48831 Port and Harbor Operations , 32512 Industrial Gas Manufacturing"," Biodiesel fuels , Maritime industry , International , Emissions , Carbon , Proposals , Biofuels , Developing countries--LDCs , Stakeholders , Ammonia , Research & development--R&D , Bridges , Greenhouse effect , Climate change , Liquefied natural gas , Ports , United States--US , Singapore",,"http://sfx.tudelft.nl:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Apq1busgeneral&amp;atitle=Singapore%3A+Speech+By+Mr+S+Iswaran%2C+Minister+For+Transport%2C+At+Imo-Singapore+Future+Of+Shipping+Conference+2022%2C+At+MBS+Expo+%26amp%3B+Convention+CTR&amp;title=Asia+News+Monitor&amp;issn=&amp;date=2022-04-08&amp;volume=&amp;issue=&amp;spage=&amp;au=&amp;isbn=&amp;jtitle=Asia+News+Monitor&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/, http://tudelft.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=&amp;title=Asia+News+Monitor&amp;spage=&amp;date=2022-04-08&amp;atitle=Singapore%3A+Speech+By+Mr+S+Iswaran%2C+Minister+For+Transport%2C+At+Imo-Singapore+Future+Of+Shipping+Conference+2022%2C+At+MBS+Expo+%26amp%3B+Convention+CTR&amp;au=&amp;id=doi:",ProQuest One Business
Clipper Oil Co.: Isle of Man to Offer 15% Flag Fee Discount for Green Ships,,2627079674,,Wire Feeds,,," Clipper Oil Co , Petrofac Ltd"," Copyright News Bites Pty Ltd Feb 10, 2022", News," Feb 10, 2022",,, English, English,, Melbourne,"Feb 10, 2022",News Bites - Private Companies,2022,,https://www.proquest.com/wire-feeds/clipper-oil-co-isle-man-offer-15-flag-fee/docview/2627079674/se-2?accountid=27026," 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48831 Port and Harbor Operations , 22131 Water Supply and Irrigation Systems , 48321 Inland Water Transportation , 33661 Ship and Boat Building"," 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48831 Port and Harbor Operations , 22131 Water Supply and Irrigation Systems , 48321 Inland Water Transportation , 33661 Ship and Boat Building",," BUSINESS NEWS ROUND UP , PRESS RELEASES ESG , Company Activities , Company Summary , FINANCIALS"," 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48831 Port and Harbor Operations , 22131 Water Supply and Irrigation Systems , 48321 Inland Water Transportation , 33661 Ship and Boat Building",,," 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48831 Port and Harbor Operations , 22131 Water Supply and Irrigation Systems , 48321 Inland Water Transportation , 33661 Ship and Boat Building"," Water treatment , Earnings per share , Corporate profits , Shipbuilding , Carbon sequestration , Ships , Carbon dioxide , Engineering , Shipping industry , Websites , Ports , United States-US , Australia , India , Germany , Singapore , Isle of Man"," BUSINESS NEWS ROUND UP , PRESS RELEASES ESG , Company Activities , Company Summary , FINANCIALS","http://sfx.tudelft.nl:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Apq1busgeneral&amp;atitle=Clipper+Oil+Co.%3A+Isle+of+Man+to+Offer+15%25+Flag+Fee+Discount+for+Green+Ships&amp;title=News+Bites+-+Private+Companies&amp;issn=&amp;date=2022-02-10&amp;volume=&amp;issue=&amp;spage=&amp;au=&amp;isbn=&amp;jtitle=News+Bites+-+Private+Companies&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/, http://tudelft.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=&amp;title=News+Bites+-+Private+Companies&amp;spage=&amp;date=2022-02-10&amp;atitle=Clipper+Oil+Co.%3A+Isle+of+Man+to+Offer+15%25+Flag+Fee+Discount+for+Green+Ships&amp;au=&amp;id=doi:",ProQuest One Business
Clipper Oil Co.: Siemens Gamesa and Strohm set about developing pipelines to ship hydrogen from offshore wind farms,,2612693181,,Wire Feeds,,," Clipper Oil Co , Equinor ASA , Horizon Air Inc , DP World , Unilever PLC , Saudi Arabian Oil Co , Inchcape Shipping Services"," Copyright News Bites Pty Ltd Dec 24, 2021", News," Dec 24, 2021",,, English, English,, Melbourne,"Dec 24, 2021",News Bites - Private Companies,2021,,https://www.proquest.com/wire-feeds/clipper-oil-co-siemens-gamesa-strohm-set-about/docview/2612693181/se-2?accountid=27026," 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48411 General Freight Trucking, Local , 48831 Port and Harbor Operations , 54133 Engineering Services , 53241 Construction, Transportation, Mining, and Forestry Machinery and Equipment Rental and Leasing , 48321 Inland Water Transportation"," 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48411 General Freight Trucking, Local , 48831 Port and Harbor Operations , 54133 Engineering Services , 53241 Construction, Transportation, Mining, and Forestry Machinery and Equipment Rental and Leasing , 48321 Inland Water Transportation",," BUSINESS NEWS ROUND UP , PRESS RELEASES ESG , Company Activities , Company Summary , FINANCIALS , TOP MANAGEMENT"," 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48411 General Freight Trucking, Local , 48831 Port and Harbor Operations , 54133 Engineering Services , 53241 Construction, Transportation, Mining, and Forestry Machinery and Equipment Rental and Leasing , 48321 Inland Water Transportation",,," 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48411 General Freight Trucking, Local , 48831 Port and Harbor Operations , 54133 Engineering Services , 53241 Construction, Transportation, Mining, and Forestry Machinery and Equipment Rental and Leasing , 48321 Inland Water Transportation"," Collaboration , Hydrogen , Wind farms , Ships , Infrastructure , Regulatory approval , Leasing , Project management , Consortia , Supply chains , Logistics , Commodities trading , Engineering firms , Shipping industry , Equity stake , Websites , Ports , Green hydrogen , Alliances , United States-US , Israel , Hong Kong , Poland , Saudi Arabia , Singapore , China"," BUSINESS NEWS ROUND UP , PRESS RELEASES ESG , Company Activities , Company Summary , FINANCIALS , TOP MANAGEMENT","http://sfx.tudelft.nl:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Apq1busgeneral&amp;atitle=Clipper+Oil+Co.%3A+Siemens+Gamesa+and+Strohm+set+about+developing+pipelines+to+ship+hydrogen+from+offshore+wind+farms&amp;title=News+Bites+-+Private+Companies&amp;issn=&amp;date=2021-12-24&amp;volume=&amp;issue=&amp;spage=&amp;au=&amp;isbn=&amp;jtitle=News+Bites+-+Private+Companies&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/, http://tudelft.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=2&amp;title=Journal+of+Holistic+Nursing&amp;spage=169&amp;date=1999-06-01&amp;atitle=Using+self-care+strategies+to+make+lifestyle+changes&amp;au=Timmerman%2C+Gayle+M&amp;id=doi:10.1177%2F089801019901700205",ProQuest One Business
Clipper Oil Co.: First Look at Maersk's New Green Methanol-Powered Containerships,,2612690246,,Wire Feeds,,," Clipper Oil Co , Equinor ASA , Horizon Air Inc , DP World , Unilever PLC , Saudi Arabian Oil Co , Inchcape Shipping Services"," Copyright News Bites Pty Ltd Dec 24, 2021", News," Dec 24, 2021",,, English, English,, Melbourne,"Dec 24, 2021",News Bites - Private Companies,2021,,https://www.proquest.com/wire-feeds/clipper-oil-co-first-look-at-maersks-new-green/docview/2612690246/se-2?accountid=27026," 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48411 General Freight Trucking, Local , 48831 Port and Harbor Operations , 54133 Engineering Services , 53241 Construction, Transportation, Mining, and Forestry Machinery and Equipment Rental and Leasing , 48321 Inland Water Transportation"," 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48411 General Freight Trucking, Local , 48831 Port and Harbor Operations , 54133 Engineering Services , 53241 Construction, Transportation, Mining, and Forestry Machinery and Equipment Rental and Leasing , 48321 Inland Water Transportation",," BUSINESS NEWS ROUND UP , PRESS RELEASES ESG , Company Activities , Company Summary , FINANCIALS , TOP MANAGEMENT"," 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48411 General Freight Trucking, Local , 48831 Port and Harbor Operations , 54133 Engineering Services , 53241 Construction, Transportation, Mining, and Forestry Machinery and Equipment Rental and Leasing , 48321 Inland Water Transportation",,," 48311 Deep Sea, Coastal, and Great Lakes Water Transportation , 48411 General Freight Trucking, Local , 48831 Port and Harbor Operations , 54133 Engineering Services , 53241 Construction, Transportation, Mining, and Forestry Machinery and Equipment Rental and Leasing , 48321 Inland Water Transportation"," Collaboration , Wind farms , Ships , Infrastructure , Regulatory approval , Leasing , Project management , Consortia , Supply chains , Logistics , Commodities trading , Engineering firms , Shipping industry , Equity stake , Websites , Ports , Alliances , United States-US , Israel , Hong Kong , Poland , Saudi Arabia , Singapore , China"," BUSINESS NEWS ROUND UP , PRESS RELEASES ESG , Company Activities , Company Summary , FINANCIALS , TOP MANAGEMENT","http://sfx.tudelft.nl:8888/sfx_local?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Apq1busgeneral&amp;atitle=Clipper+Oil+Co.%3A+First+Look+at+Maersk%27s+New+Green+Methanol-Powered+Containerships&amp;title=News+Bites+-+Private+Companies&amp;issn=&amp;date=2021-12-24&amp;volume=&amp;issue=&amp;spage=&amp;au=&amp;isbn=&amp;jtitle=News+Bites+-+Private+Companies&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/, http://tudelft.on.worldcat.org/atoztitles/link?sid=ProQ:&amp;issn=&amp;volume=&amp;issue=&amp;title=News+Bites+-+Private+Companies&amp;spage=&amp;date=2021-12-24&amp;atitle=Clipper+Oil+Co.%3A+First+Look+at+Maersk%27s+New+Green+Methanol-Powered+Containerships&amp;au=&amp;id=doi:",ProQuest One Business
